1,3,150
2,3,213
3,3,188
4,3,146
5,3,120
6,3,134
7,3,111
8,3,109
9,3,122
10,3,135
11,3,111
12,3,107
13,3,105
14,3,115
15,3,109
16,3,100
17,3,73
18,3,82
19,3,96
20,3,100
21,3,80
22,3,85
23,3,49
24,3,27
25,3,27
26,3,15
27,3,13
28,3,3
29,3,2
30,3,2
33,3,1
34,3,1
1,4,133
2,4,296
3,4,274
4,4,164
5,4,125
6,4,144
7,4,111
8,4,114
9,4,121
10,4,135
11,4,102
12,4,102
13,4,99
14,4,118
15,4,90
16,4,110
17,4,76
18,4,70
19,4,77
20,4,97
21,4,90
22,4,82
23,4,70
24,4,60
25,4,25
26,4,23
27,4,17
28,4,12
29,4,3
30,4,1
31,4,2
34,4,1
35,4,1
