00:1b:90:76:d3:f0;C6_AISLE6;-43
00:1b:90:76:d3:f0;C6_AISLE6;-43
00:1b:90:76:d3:f0;C6_AISLE6;-43
00:1b:90:76:d3:f0;C6_AISLE6;-43
00:1b:90:76:d3:f0;C6_AISLE6;-43
00:1b:90:76:d3:f0;C6_AISLE6;-43
00:1b:90:76:d3:f0;C6_AISLE6;-44
00:1b:90:76:d3:f0;C6_AISLE6;-44
00:1b:90:76:d3:f0;C6_AISLE6;-44
00:1b:90:76:d3:f0;C6_AISLE6;-44
00:1b:90:76:d3:f0;C6_AISLE6;-44
00:1b:90:76:d3:f0;C6_AISLE6;-45
00:1b:90:76:d3:f0;C6_AISLE6;-45
00:1b:90:76:d3:f0;C6_AISLE6;-46
00:1b:90:76:d3:f0;C6_AISLE6;-46
00:1b:90:76:d3:f0;C6_AISLE6;-46
00:1b:90:76:d3:f0;C6_AISLE6;-46
00:1b:90:76:d3:f0;C6_AISLE6;-46
00:1b:90:76:d3:f0;C6_AISLE6;-47
00:1b:90:76:d3:f0;C6_AISLE6;-47
00:1b:90:76:d3:f0;C6_AISLE6;-48
00:1b:90:76:d3:f0;C6_AISLE6;-48
00:1b:90:76:d3:f0;C6_AISLE6;-48
00:1b:90:76:d3:f0;C6_AISLE6;-48
00:1b:90:76:d3:f0;C6_AISLE6;-48
00:1b:90:76:d3:f0;C6_AISLE6;-48
00:1b:90:76:d3:f0;C6_AISLE6;-49
00:1b:90:76:d3:f0;C6_AISLE6;-49
00:1b:90:76:d3:f0;C6_AISLE6;-49
00:1b:90:76:d3:f0;C6_AISLE6;-49
00:1b:90:76:d3:f0;C6_AISLE6;-49
00:1b:90:76:d3:f0;C6_AISLE6;-50
00:1b:90:76:d3:f0;C6_AISLE6;-50
00:1b:90:76:d3:f0;C6_AISLE6;-50
00:1b:90:76:d3:f0;C6_AISLE6;-51
00:1b:90:76:d3:f0;C6_AISLE6;-51
00:1b:90:76:d3:f0;C6_AISLE6;-51
00:1b:90:76:d3:f0;C6_AISLE6;-51
00:1b:90:76:d3:f0;C6_AISLE6;-51
00:1b:90:76:d3:f0;C6_AISLE6;-51
00:1b:90:76:d3:f0;C6_AISLE6;-51
00:1b:90:76:d3:f0;C6_AISLE6;-51
00:1b:90:76:d3:f0;C6_AISLE6;-51
