BSSID;SSID;room;num_measurements;mean;stddev
1c:aa:07:6e:31:a9;Conferentie-TUD;C8_AISLE8;180;-85,87777778;3,453854709
1c:aa:07:6e:31:a9;Conferentie-TUD;C9_AISLE9;240;-79,07083333;4,404161133
1c:aa:07:6e:31:ab;tudelft-dastud;C1_AISLE1;1;-71;
1c:aa:07:6e:31:ab;tudelft-dastud;C10_AISLE10;180;-73,32222222;5,337393706
1c:aa:07:6e:31:ab;tudelft-dastud;C12_CONF_TOP;1;-82;
1c:aa:07:6e:31:ab;tudelft-dastud;C13_COFFEE;1;-67;
1c:aa:07:6e:31:ab;tudelft-dastud;C16_FLEX_BTM;240;-73,27916667;5,462805321
1c:aa:07:6e:31:ab;tudelft-dastud;C17_FLEX_TOP;120;-65,16666667;3,760326585
1c:aa:07:6e:31:ab;tudelft-dastud;C4_AISLE4;7;-82;0
1c:aa:07:6e:31:ab;tudelft-dastud;C6_AISLE6;1;-85;
1c:aa:07:6e:31:ab;tudelft-dastud;C7_AISLE7;24;-85,125;4,465447054
1c:aa:07:6e:31:ab;tudelft-dastud;C8_AISLE8;177;-83,62711864;3,0575817
1c:aa:07:6e:31:ab;tudelft-dastud;C9_AISLE9;240;-77,77916667;4,294248286
1c:aa:07:6e:31:ac;TUvisitor;C1_AISLE1;1;-73;
1c:aa:07:6e:31:ac;TUvisitor;C10_AISLE10;180;-74,42777778;5,408487594
1c:aa:07:6e:31:ac;TUvisitor;C12_CONF_TOP;1;-82;
1c:aa:07:6e:31:ac;TUvisitor;C13_COFFEE;1;-68;
1c:aa:07:6e:31:ac;TUvisitor;C16_FLEX_BTM;240;-74,21666667;5,446865182
1c:aa:07:6e:31:ac;TUvisitor;C17_FLEX_TOP;120;-66,20833333;3,786077621
1c:aa:07:6e:31:ac;TUvisitor;C4_AISLE4;7;-84;0
1c:aa:07:6e:31:ac;TUvisitor;C6_AISLE6;1;-88;
1c:aa:07:6e:31:ac;TUvisitor;C7_AISLE7;21;-84,57142857;4,069046922
1c:aa:07:6e:31:ac;TUvisitor;C8_AISLE8;177;-84,76271186;3,142481918
1c:aa:07:6e:31:ac;TUvisitor;C9_AISLE9;240;-78,60833333;4,268784887
1c:aa:07:6e:31:af;eduroam;C1_AISLE1;1;-70;
1c:aa:07:6e:31:af;eduroam;C10_AISLE10;180;-73,96111111;5,295052913
1c:aa:07:6e:31:af;eduroam;C12_CONF_TOP;1;-82;
1c:aa:07:6e:31:af;eduroam;C13_COFFEE;1;-67;
1c:aa:07:6e:31:af;eduroam;C16_FLEX_BTM;240;-73,6625;5,302427998
1c:aa:07:6e:31:af;eduroam;C17_FLEX_TOP;120;-66,225;3,831454295
1c:aa:07:6e:31:af;eduroam;C4_AISLE4;7;-83;0
1c:aa:07:6e:31:af;eduroam;C6_AISLE6;9;-91;0
1c:aa:07:6e:31:af;eduroam;C7_AISLE7;24;-87,75;5,277103949
1c:aa:07:6e:31:af;eduroam;C8_AISLE8;174;-83,99425287;3,148533242
1c:aa:07:6e:31:af;eduroam;C9_AISLE9;240;-78,32916667;4,110907948
1c:aa:07:7b:28:00;eduroam;C1_AISLE1;153;-62,67973856;12,37923431
1c:aa:07:7b:28:00;eduroam;C11_CONF_BTM;40;-51,025;2,877743953
1c:aa:07:7b:28:00;eduroam;C12_CONF_TOP;118;-48,58474576;3,717195596
1c:aa:07:7b:28:00;eduroam;C13_COFFEE;35;-71,85714286;8,868791473
1c:aa:07:7b:28:00;eduroam;C14_PLEA;276;-65,18115942;8,482054217
1c:aa:07:7b:28:00;eduroam;C15_MTG;156;-72,06410256;4,527592093
1c:aa:07:7b:28:00;eduroam;C2_AISLE2;152;-67,61184211;8,447774378
1c:aa:07:7b:28:00;eduroam;C3_AISLE3;179;-70,16759777;7,834299431
1c:aa:07:7b:28:00;eduroam;C4_AISLE4;99;-74,58585859;3,886160954
1c:aa:07:7b:28:00;eduroam;C5_AISLE5;24;-78,875;4,003395298
1c:aa:07:7b:28:00;eduroam;C6_AISLE6;25;-79,52;1,194431524
1c:aa:07:7b:28:00;eduroam;C7_AISLE7;14;-79;0
1c:aa:07:7b:28:00;eduroam;C8_AISLE8;10;-78,1;6,008327554
1c:aa:07:7b:28:00;eduroam;C9_AISLE9;9;-79;0
1c:aa:07:7b:28:03;TUvisitor;C1_AISLE1;155;-53,87096774;5,344872136
1c:aa:07:7b:28:03;TUvisitor;C11_CONF_BTM;57;-51,33333333;5,0083264
1c:aa:07:7b:28:03;TUvisitor;C12_CONF_TOP;103;-49,38834951;4,085442856
1c:aa:07:7b:28:03;TUvisitor;C13_COFFEE;43;-78,65116279;6,830895225
1c:aa:07:7b:28:03;TUvisitor;C14_PLEA;233;-60,86695279;3,919928932
1c:aa:07:7b:28:03;TUvisitor;C15_MTG;148;-69,72297297;3,592927569
1c:aa:07:7b:28:03;TUvisitor;C2_AISLE2;165;-63,07272727;5,870101628
1c:aa:07:7b:28:03;TUvisitor;C3_AISLE3;106;-71,23584906;3,473853046
1c:aa:07:7b:28:03;TUvisitor;C4_AISLE4;83;-76,30120482;4,276238773
1c:aa:07:7b:28:03;TUvisitor;C5_AISLE5;52;-80,67307692;3,959209437
1c:aa:07:7b:28:03;TUvisitor;C6_AISLE6;40;-79,95;2,171493637
1c:aa:07:7b:28:03;TUvisitor;C7_AISLE7;15;-82,4;2,028370211
1c:aa:07:7b:28:03;TUvisitor;C8_AISLE8;1;-76;
1c:aa:07:7b:28:04;tudelft-dastud;C1_AISLE1;131;-52,45038168;4,255699781
1c:aa:07:7b:28:04;tudelft-dastud;C11_CONF_BTM;33;-53,21212121;5,54953588
1c:aa:07:7b:28:04;tudelft-dastud;C12_CONF_TOP;146;-47,47945205;4,130991662
1c:aa:07:7b:28:04;tudelft-dastud;C13_COFFEE;18;-66,11111111;5,411196333
1c:aa:07:7b:28:04;tudelft-dastud;C14_PLEA;253;-61,07905138;4,641265466
1c:aa:07:7b:28:04;tudelft-dastud;C15_MTG;127;-68,41732283;3,003809605
1c:aa:07:7b:28:04;tudelft-dastud;C2_AISLE2;129;-60,76744186;6,667917155
1c:aa:07:7b:28:04;tudelft-dastud;C3_AISLE3;111;-70,07207207;5,082432688
1c:aa:07:7b:28:04;tudelft-dastud;C4_AISLE4;83;-72,57831325;3,663000509
1c:aa:07:7b:28:04;tudelft-dastud;C5_AISLE5;32;-77,25;1,586231078
1c:aa:07:7b:28:04;tudelft-dastud;C6_AISLE6;14;-81,92857143;2,164904891
1c:aa:07:7b:28:04;tudelft-dastud;C7_AISLE7;14;-79;0
1c:aa:07:7b:28:04;tudelft-dastud;C8_AISLE8;1;-73;
1c:aa:07:7b:28:06;Conferentie-TUD;C1_AISLE1;180;-51,55;4,407047429
1c:aa:07:7b:28:06;Conferentie-TUD;C11_CONF_BTM;60;-50,36666667;3,640481746
1c:aa:07:7b:28:06;Conferentie-TUD;C12_CONF_TOP;180;-46,75;4,080030398
1c:aa:07:7b:28:06;Conferentie-TUD;C13_COFFEE;155;-79,50967742;3,790568853
1c:aa:07:7b:28:06;Conferentie-TUD;C14_PLEA;300;-59,69333333;3,73440421
1c:aa:07:7b:28:06;Conferentie-TUD;C15_MTG;178;-67,83146067;3,588229203
1c:aa:07:7b:28:06;Conferentie-TUD;C2_AISLE2;180;-62,13888889;5,598048232
1c:aa:07:7b:28:06;Conferentie-TUD;C3_AISLE3;167;-71,52694611;3,73329915
1c:aa:07:7b:28:06;Conferentie-TUD;C4_AISLE4;136;-73,33823529;4,190324991
1c:aa:07:7b:28:06;Conferentie-TUD;C5_AISLE5;35;-77,94285714;1,862049111
1c:aa:07:7b:28:06;Conferentie-TUD;C6_AISLE6;30;-78,83333333;2,925315584
1c:aa:07:7b:28:06;Conferentie-TUD;C7_AISLE7;3;-80;0
1c:aa:07:7b:28:06;Conferentie-TUD;C8_AISLE8;18;-82,33333333;2,828427125
1c:aa:07:7b:28:06;Conferentie-TUD;C9_AISLE9;17;-79,88235294;0,927520414
1c:aa:07:7b:28:09;Conferentie-TUD;C1_AISLE1;180;-60,68888889;5,170056556
1c:aa:07:7b:28:09;Conferentie-TUD;C11_CONF_BTM;60;-51,45;5,324790121
1c:aa:07:7b:28:09;Conferentie-TUD;C12_CONF_TOP;180;-49,48333333;4,641896886
1c:aa:07:7b:28:09;Conferentie-TUD;C13_COFFEE;72;-87,73611111;4,045491511
1c:aa:07:7b:28:09;Conferentie-TUD;C14_PLEA;300;-67,25666667;6,04532398
1c:aa:07:7b:28:09;Conferentie-TUD;C15_MTG;180;-77,91111111;5,158156625
1c:aa:07:7b:28:09;Conferentie-TUD;C2_AISLE2;180;-73,92222222;6,805728408
1c:aa:07:7b:28:09;Conferentie-TUD;C3_AISLE3;180;-84,45555556;4,025508361
1c:aa:07:7b:28:09;Conferentie-TUD;C4_AISLE4;192;-87,859375;2,427162095
1c:aa:07:7b:28:09;Conferentie-TUD;C5_AISLE5;45;-87,15555556;2,110100768
1c:aa:07:7b:28:09;Conferentie-TUD;C6_AISLE6;73;-87,75342466;1,552603744
1c:aa:07:7b:28:09;Conferentie-TUD;C7_AISLE7;1;-88;
1c:aa:07:7b:28:09;Conferentie-TUD;C8_AISLE8;6;-83,83333333;0,98319208
1c:aa:07:7b:28:0b;tudelft-dastud;C1_AISLE1;180;-59,36666667;5,01160664
1c:aa:07:7b:28:0b;tudelft-dastud;C11_CONF_BTM;60;-49,61666667;5,483694371
1c:aa:07:7b:28:0b;tudelft-dastud;C12_CONF_TOP;180;-47,98333333;4,6838305
1c:aa:07:7b:28:0b;tudelft-dastud;C13_COFFEE;31;-82,96774194;2,94939396
1c:aa:07:7b:28:0b;tudelft-dastud;C14_PLEA;300;-66,11;5,81526362
1c:aa:07:7b:28:0b;tudelft-dastud;C15_MTG;179;-76,82681564;4,895326414
1c:aa:07:7b:28:0b;tudelft-dastud;C2_AISLE2;180;-72,52222222;6,701501171
1c:aa:07:7b:28:0b;tudelft-dastud;C3_AISLE3;180;-83,05;3,862547572
1c:aa:07:7b:28:0b;tudelft-dastud;C4_AISLE4;159;-85,43396226;2,33717427
1c:aa:07:7b:28:0b;tudelft-dastud;C5_AISLE5;37;-85,54054054;2,734497665
1c:aa:07:7b:28:0b;tudelft-dastud;C6_AISLE6;52;-86,96153846;2,248847535
1c:aa:07:7b:28:0b;tudelft-dastud;C7_AISLE7;9;-89;0
1c:aa:07:7b:28:0b;tudelft-dastud;C8_AISLE8;8;-84,5;3,207134903
1c:aa:07:7b:28:0c;TUvisitor;C1_AISLE1;180;-60,27222222;5,098833863
1c:aa:07:7b:28:0c;TUvisitor;C11_CONF_BTM;60;-51,1;5,274498932
1c:aa:07:7b:28:0c;TUvisitor;C12_CONF_TOP;180;-49,11666667;4,650073586
1c:aa:07:7b:28:0c;TUvisitor;C13_COFFEE;37;-84,89189189;4,053693678
1c:aa:07:7b:28:0c;TUvisitor;C14_PLEA;300;-66,87;5,851544118
1c:aa:07:7b:28:0c;TUvisitor;C15_MTG;179;-77,54189944;4,872783711
1c:aa:07:7b:28:0c;TUvisitor;C2_AISLE2;180;-73,46666667;6,689773735
1c:aa:07:7b:28:0c;TUvisitor;C3_AISLE3;180;-83,96111111;4,072477303
1c:aa:07:7b:28:0c;TUvisitor;C4_AISLE4;150;-86,07333333;2,570082564
1c:aa:07:7b:28:0c;TUvisitor;C5_AISLE5;35;-86,02857143;2,202748474
1c:aa:07:7b:28:0c;TUvisitor;C6_AISLE6;57;-87,78947368;2,320228145
1c:aa:07:7b:28:0c;TUvisitor;C7_AISLE7;1;-88;
1c:aa:07:7b:28:0c;TUvisitor;C8_AISLE8;25;-91,04;4,903060269
1c:aa:07:7b:28:0f;eduroam;C1_AISLE1;180;-60,95;3,821835237
1c:aa:07:7b:28:0f;eduroam;C11_CONF_BTM;60;-51,3;3,992790112
1c:aa:07:7b:28:0f;eduroam;C12_CONF_TOP;180;-49,86111111;3,793207527
1c:aa:07:7b:28:0f;eduroam;C13_COFFEE;116;-86,87068966;2,552169316
1c:aa:07:7b:28:0f;eduroam;C14_PLEA;300;-67,39;5,353512897
1c:aa:07:7b:28:0f;eduroam;C15_MTG;179;-77,68715084;4,814818213
1c:aa:07:7b:28:0f;eduroam;C2_AISLE2;180;-73,11666667;6,724652387
1c:aa:07:7b:28:0f;eduroam;C3_AISLE3;180;-83,65;3,656287154
1c:aa:07:7b:28:0f;eduroam;C4_AISLE4;156;-85,91025641;2,209573875
1c:aa:07:7b:28:0f;eduroam;C5_AISLE5;36;-86;1,971221521
1c:aa:07:7b:28:0f;eduroam;C6_AISLE6;80;-88,05;2,157706236
1c:aa:07:7b:28:0f;eduroam;C7_AISLE7;1;-89;
1c:aa:07:7b:28:0f;eduroam;C8_AISLE8;14;-88,92857143;3,989684501
1c:aa:07:7b:37:00;eduroam;C10_AISLE10;18;-78,5;0,514495755
1c:aa:07:7b:37:00;eduroam;C16_FLEX_BTM;149;-77,08053691;2,600719179
1c:aa:07:7b:37:00;eduroam;C17_FLEX_TOP;75;-73,09333333;3,067587014
1c:aa:07:7b:37:00;eduroam;C8_AISLE8;2;-80;1,414213562
1c:aa:07:7b:37:00;eduroam;C9_AISLE9;104;-76,88461538;2,622929853
1c:aa:07:7b:37:03;TUvisitor;C1_AISLE1;1;-79;
1c:aa:07:7b:37:03;TUvisitor;C10_AISLE10;23;-81,08695652;3,232126284
1c:aa:07:7b:37:03;TUvisitor;C12_CONF_TOP;1;-81;
1c:aa:07:7b:37:03;TUvisitor;C16_FLEX_BTM;112;-76,36607143;2,585460162
1c:aa:07:7b:37:03;TUvisitor;C17_FLEX_TOP;79;-73,10126582;3,160635025
1c:aa:07:7b:37:03;TUvisitor;C4_AISLE4;7;-82;0
1c:aa:07:7b:37:03;TUvisitor;C8_AISLE8;12;-84,58333333;2,843120352
1c:aa:07:7b:37:03;TUvisitor;C9_AISLE9;90;-78,27777778;2,860139769
1c:aa:07:7b:37:04;tudelft-dastud;C10_AISLE10;15;-78,6;0,507092553
1c:aa:07:7b:37:04;tudelft-dastud;C12_CONF_TOP;1;-76;
1c:aa:07:7b:37:04;tudelft-dastud;C16_FLEX_BTM;117;-76,88888889;2,548758243
1c:aa:07:7b:37:04;tudelft-dastud;C17_FLEX_TOP;92;-72,43478261;4,151801801
1c:aa:07:7b:37:04;tudelft-dastud;C8_AISLE8;10;-81,6;3,272783389
1c:aa:07:7b:37:04;tudelft-dastud;C9_AISLE9;117;-76,56410256;3,494785809
1c:aa:07:7b:37:06;Conferentie-TUD;C1_AISLE1;1;-76;
1c:aa:07:7b:37:06;Conferentie-TUD;C10_AISLE10;62;-78,75806452;1,913588029
1c:aa:07:7b:37:06;Conferentie-TUD;C12_CONF_TOP;1;-72;
1c:aa:07:7b:37:06;Conferentie-TUD;C13_COFFEE;1;-79;
1c:aa:07:7b:37:06;Conferentie-TUD;C16_FLEX_BTM;236;-75,75847458;2,205634034
1c:aa:07:7b:37:06;Conferentie-TUD;C17_FLEX_TOP;120;-71,30833333;3,711883785
1c:aa:07:7b:37:06;Conferentie-TUD;C8_AISLE8;30;-80,06666667;1,680175141
1c:aa:07:7b:37:06;Conferentie-TUD;C9_AISLE9;229;-77,24017467;2,411404185
1c:aa:07:7b:37:09;Conferentie-TUD;C16_FLEX_BTM;58;-89,53448276;1,966522599
1c:aa:07:7b:37:09;Conferentie-TUD;C17_FLEX_TOP;91;-87,65934066;2,192004563
1c:aa:07:7b:37:09;Conferentie-TUD;C7_AISLE7;1;-91;
1c:aa:07:7b:37:09;Conferentie-TUD;C8_AISLE8;5;-91;0
1c:aa:07:7b:37:0b;tudelft-dastud;C16_FLEX_BTM;15;-90,2;1,014185106
1c:aa:07:7b:37:0b;tudelft-dastud;C17_FLEX_TOP;72;-85,05555556;2,968799676
1c:aa:07:7b:37:0c;TUvisitor;C16_FLEX_BTM;34;-88,5;1,637625776
1c:aa:07:7b:37:0c;TUvisitor;C17_FLEX_TOP;81;-85,67901235;2,563333574
1c:aa:07:7b:37:0f;eduroam;C16_FLEX_BTM;20;-90,9;1,410487038
1c:aa:07:7b:37:0f;eduroam;C17_FLEX_TOP;57;-86,73684211;4,051129983
1c:aa:07:7b:37:d0;eduroam;C1_AISLE1;77;-76,33766234;2,348630002
1c:aa:07:7b:37:d0;eduroam;C11_CONF_BTM;13;-72,69230769;1,652503928
1c:aa:07:7b:37:d0;eduroam;C12_CONF_TOP;113;-71,23893805;3,362806907
1c:aa:07:7b:37:d0;eduroam;C13_COFFEE;19;-73,52631579;0,512989176
1c:aa:07:7b:37:d0;eduroam;C14_PLEA;176;-71,07386364;2,808191866
1c:aa:07:7b:37:d0;eduroam;C15_MTG;87;-75,91954023;2,412267055
1c:aa:07:7b:37:d0;eduroam;C2_AISLE2;91;-72,64835165;4,27492333
1c:aa:07:7b:37:d0;eduroam;C3_AISLE3;34;-80,64705882;1,276414318
1c:aa:07:7b:37:d3;TUvisitor;C1_AISLE1;66;-74,13636364;2,17599748
1c:aa:07:7b:37:d3;TUvisitor;C11_CONF_BTM;30;-75,06666667;2,405931368
1c:aa:07:7b:37:d3;TUvisitor;C12_CONF_TOP;142;-71,19014085;4,101432199
1c:aa:07:7b:37:d3;TUvisitor;C13_COFFEE;10;-72;0
1c:aa:07:7b:37:d3;TUvisitor;C14_PLEA;190;-71,55263158;3,668090405
1c:aa:07:7b:37:d3;TUvisitor;C15_MTG;79;-74,11392405;3,816251825
1c:aa:07:7b:37:d3;TUvisitor;C2_AISLE2;123;-71,81300813;3,843985281
1c:aa:07:7b:37:d3;TUvisitor;C3_AISLE3;34;-78,20588235;1,996654957
1c:aa:07:7b:37:d4;tudelft-dastud;C1_AISLE1;95;-74,81052632;2,791684982
1c:aa:07:7b:37:d4;tudelft-dastud;C11_CONF_BTM;27;-72,51851852;2,95309968
1c:aa:07:7b:37:d4;tudelft-dastud;C12_CONF_TOP;132;-71,97727273;2,491101443
1c:aa:07:7b:37:d4;tudelft-dastud;C13_COFFEE;10;-80;0
1c:aa:07:7b:37:d4;tudelft-dastud;C14_PLEA;175;-72,13714286;2,853419577
1c:aa:07:7b:37:d4;tudelft-dastud;C15_MTG;109;-75,66055046;2,92884816
1c:aa:07:7b:37:d4;tudelft-dastud;C2_AISLE2;94;-73,4787234;3,248585212
1c:aa:07:7b:37:d4;tudelft-dastud;C3_AISLE3;42;-78,14285714;2,474961725
1c:aa:07:7b:37:d4;tudelft-dastud;C4_AISLE4;7;-83;0
1c:aa:07:7b:37:d6;Conferentie-TUD;C1_AISLE1;169;-74,43786982;2,456281589
1c:aa:07:7b:37:d6;Conferentie-TUD;C11_CONF_BTM;58;-73,31034483;2,945153
1c:aa:07:7b:37:d6;Conferentie-TUD;C12_CONF_TOP;180;-71,37777778;3,040059459
1c:aa:07:7b:37:d6;Conferentie-TUD;C13_COFFEE;21;-75,76190476;1,729299335
1c:aa:07:7b:37:d6;Conferentie-TUD;C14_PLEA;295;-71,12881356;3,267602818
1c:aa:07:7b:37:d6;Conferentie-TUD;C15_MTG;161;-75,25465839;3,048113152
1c:aa:07:7b:37:d6;Conferentie-TUD;C2_AISLE2;175;-72,86285714;4,058982214
1c:aa:07:7b:37:d6;Conferentie-TUD;C3_AISLE3;128;-78,21875;1,291629624
1c:aa:07:7b:37:d6;Conferentie-TUD;C4_AISLE4;10;-79,9;0,316227766
1c:aa:07:7b:37:d6;Conferentie-TUD;C8_AISLE8;1;-77;
1c:aa:07:7b:37:d9;Conferentie-TUD;C1_AISLE1;118;-88,91525424;1,356064386
1c:aa:07:7b:37:d9;Conferentie-TUD;C11_CONF_BTM;60;-86,11666667;2,630277853
1c:aa:07:7b:37:d9;Conferentie-TUD;C12_CONF_TOP;180;-85,06666667;3,039038366
1c:aa:07:7b:37:d9;Conferentie-TUD;C14_PLEA;300;-86,87;2,308867594
1c:aa:07:7b:37:d9;Conferentie-TUD;C15_MTG;152;-88,44736842;2,0157968
1c:aa:07:7b:37:d9;Conferentie-TUD;C2_AISLE2;128;-88,75;1,621703197
1c:aa:07:7b:37:d9;Conferentie-TUD;C3_AISLE3;29;-90,62068966;1,236752461
1c:aa:07:7b:37:db;tudelft-dastud;C1_AISLE1;67;-88,14925373;2,046828525
1c:aa:07:7b:37:db;tudelft-dastud;C11_CONF_BTM;60;-84,06666667;1,885418325
1c:aa:07:7b:37:db;tudelft-dastud;C12_CONF_TOP;180;-83,46666667;3,049681731
1c:aa:07:7b:37:db;tudelft-dastud;C14_PLEA;299;-85,18394649;2,195849458
1c:aa:07:7b:37:db;tudelft-dastud;C15_MTG;138;-86,48550725;2,037013369
1c:aa:07:7b:37:db;tudelft-dastud;C2_AISLE2;92;-85,75;2,246486879
1c:aa:07:7b:37:dc;TUvisitor;C1_AISLE1;58;-87,60344828;0,897162294
1c:aa:07:7b:37:dc;TUvisitor;C11_CONF_BTM;60;-85,26666667;2,185209657
1c:aa:07:7b:37:dc;TUvisitor;C12_CONF_TOP;180;-84,23333333;2,707531395
1c:aa:07:7b:37:dc;TUvisitor;C14_PLEA;299;-85,85953177;2,156697337
1c:aa:07:7b:37:dc;TUvisitor;C15_MTG;132;-87,34090909;1,964686504
1c:aa:07:7b:37:dc;TUvisitor;C2_AISLE2;86;-86,36046512;1,264099686
1c:aa:07:7b:37:df;eduroam;C1_AISLE1;57;-88,15789474;1,146259035
1c:aa:07:7b:37:df;eduroam;C11_CONF_BTM;60;-84,61666667;1,940571877
1c:aa:07:7b:37:df;eduroam;C12_CONF_TOP;180;-83,93888889;2,916268927
1c:aa:07:7b:37:df;eduroam;C14_PLEA;299;-85,909699;2,082655984
1c:aa:07:7b:37:df;eduroam;C15_MTG;144;-87,68055556;2,220857195
1c:aa:07:7b:37:df;eduroam;C2_AISLE2;93;-86,92473118;2,081160625
1c:aa:07:7b:39:10;eduroam;C1_AISLE1;1;-65;
1c:aa:07:7b:39:10;eduroam;C10_AISLE10;171;-71,35087719;3,820184295
1c:aa:07:7b:39:10;eduroam;C12_CONF_TOP;1;-59;
1c:aa:07:7b:39:10;eduroam;C13_COFFEE;1;-65;
1c:aa:07:7b:39:10;eduroam;C16_FLEX_BTM;240;-62,8375;3,216499371
1c:aa:07:7b:39:10;eduroam;C17_FLEX_TOP;120;-57,50833333;4,264364422
1c:aa:07:7b:39:10;eduroam;C4_AISLE4;19;-78,94736842;1,025978352
1c:aa:07:7b:39:10;eduroam;C6_AISLE6;1;-80;
1c:aa:07:7b:39:10;eduroam;C7_AISLE7;52;-76,15384615;3,057517995
1c:aa:07:7b:39:10;eduroam;C8_AISLE8;109;-71,2293578;3,545035724
1c:aa:07:7b:39:10;eduroam;C9_AISLE9;220;-65,82272727;3,944874927
1c:aa:07:7b:39:13;TUvisitor;C1_AISLE1;1;-63;
1c:aa:07:7b:39:13;TUvisitor;C10_AISLE10;170;-70,73529412;3,734604084
1c:aa:07:7b:39:13;TUvisitor;C12_CONF_TOP;1;-60;
1c:aa:07:7b:39:13;TUvisitor;C16_FLEX_BTM;222;-60,72522523;4,551484636
1c:aa:07:7b:39:13;TUvisitor;C17_FLEX_TOP;119;-55,83193277;4,142216159
1c:aa:07:7b:39:13;TUvisitor;C4_AISLE4;27;-77,03703704;3,081975908
1c:aa:07:7b:39:13;TUvisitor;C6_AISLE6;1;-77;
1c:aa:07:7b:39:13;TUvisitor;C7_AISLE7;63;-78,33333333;2,834123862
1c:aa:07:7b:39:13;TUvisitor;C8_AISLE8;146;-73,30136986;4,405904914
1c:aa:07:7b:39:13;TUvisitor;C9_AISLE9;211;-65,62559242;4,72552431
1c:aa:07:7b:39:14;tudelft-dastud;C1_AISLE1;1;-61;
1c:aa:07:7b:39:14;tudelft-dastud;C10_AISLE10;157;-69,93630573;4,47454557
1c:aa:07:7b:39:14;tudelft-dastud;C12_CONF_TOP;1;-60;
1c:aa:07:7b:39:14;tudelft-dastud;C16_FLEX_BTM;228;-60,25877193;4,418489614
1c:aa:07:7b:39:14;tudelft-dastud;C17_FLEX_TOP;119;-55,30252101;4,281522424
1c:aa:07:7b:39:14;tudelft-dastud;C4_AISLE4;21;-75,42857143;2,18108754
1c:aa:07:7b:39:14;tudelft-dastud;C6_AISLE6;1;-79;
1c:aa:07:7b:39:14;tudelft-dastud;C7_AISLE7;82;-76,5;2,455781789
1c:aa:07:7b:39:14;tudelft-dastud;C8_AISLE8;169;-73,43786982;4,851115258
1c:aa:07:7b:39:14;tudelft-dastud;C9_AISLE9;236;-64,89830508;4,317977916
1c:aa:07:7b:39:16;Conferentie-TUD;C1_AISLE1;1;-63;
1c:aa:07:7b:39:16;Conferentie-TUD;C10_AISLE10;168;-71,0952381;3,551567243
1c:aa:07:7b:39:16;Conferentie-TUD;C12_CONF_TOP;1;-61;
1c:aa:07:7b:39:16;Conferentie-TUD;C13_COFFEE;1;-61;
1c:aa:07:7b:39:16;Conferentie-TUD;C16_FLEX_BTM;239;-60,89539749;4,253710658
1c:aa:07:7b:39:16;Conferentie-TUD;C17_FLEX_TOP;120;-56,225;4,457950126
1c:aa:07:7b:39:16;Conferentie-TUD;C4_AISLE4;33;-76,3030303;1,895469079
1c:aa:07:7b:39:16;Conferentie-TUD;C6_AISLE6;9;-81,33333333;2
1c:aa:07:7b:39:16;Conferentie-TUD;C7_AISLE7;64;-78,265625;3,324952261
1c:aa:07:7b:39:16;Conferentie-TUD;C8_AISLE8;157;-73,81528662;4,045924914
1c:aa:07:7b:39:16;Conferentie-TUD;C9_AISLE9;240;-65,29583333;4,364173194
1c:af:f7:18:0e:4a;SANDER;C10_AISLE10;91;-86,28571429;2,696852957
1c:af:f7:18:0e:4a;SANDER;C12_CONF_TOP;1;-82;
1c:af:f7:18:0e:4a;SANDER;C16_FLEX_BTM;167;-85,5988024;3,4239762
1c:af:f7:18:0e:4a;SANDER;C17_FLEX_TOP;63;-86,23809524;2,900023836
1c:af:f7:18:0e:4a;SANDER;C4_AISLE4;1;-90;
1c:af:f7:18:0e:4a;SANDER;C7_AISLE7;10;-87,4;1,264911064
1c:af:f7:18:0e:4a;SANDER;C8_AISLE8;34;-90,35294118;2,057983022
1c:af:f7:18:0e:4a;SANDER;C9_AISLE9;53;-86,81132075;2,948641172
1c:af:f7:7f:6f:c2;edusloom;C16_FLEX_BTM;12;-90;1,044465936
1c:af:f7:7f:6f:c2;edusloom;C17_FLEX_TOP;6;-88;0
1e:cc:b7:e7:90:48;HPCP1025-A528D4;C14_PLEA;69;-89,10144928;2,203906475
20:aa:4b:73:1e:20;Supermooi;C17_FLEX_TOP;6;-95;0
20:aa:4b:eb:4c:45;Airport56;C17_FLEX_TOP;6;-90;0
20:aa:4b:eb:4c:47;Airport56-5GHz;C17_FLEX_TOP;6;-98;0
20:c9:d0:18:43:f3;sape;C1_AISLE1;1;-90;
20:c9:d0:18:43:f3;sape;C10_AISLE10;100;-86,28;2,420785414
20:c9:d0:18:43:f3;sape;C12_CONF_TOP;1;-84;
20:c9:d0:18:43:f3;sape;C13_COFFEE;18;-90,33333333;0,48507125
20:c9:d0:18:43:f3;sape;C14_PLEA;8;-88;0
20:c9:d0:18:43:f3;sape;C15_MTG;101;-89,44554455;1,459282341
20:c9:d0:18:43:f3;sape;C16_FLEX_BTM;207;-86,51207729;2,707164001
20:c9:d0:18:43:f3;sape;C17_FLEX_TOP;57;-89,36842105;1,483619837
20:c9:d0:18:43:f3;sape;C2_AISLE2;15;-92,33333333;1,046536237
20:c9:d0:18:43:f3;sape;C3_AISLE3;123;-89,14634146;1,97808869
20:c9:d0:18:43:f3;sape;C4_AISLE4;215;-82,74418605;6,668005009
20:c9:d0:18:43:f3;sape;C5_AISLE5;117;-81,16239316;4,049174597
20:c9:d0:18:43:f3;sape;C6_AISLE6;180;-73,93333333;4,123241118
20:c9:d0:18:43:f3;sape;C7_AISLE7;240;-69,525;4,981072963
